Name	Key	Frames	X	Y	Size
[biaoqing01]	[0]	1	0	0	0.25
[biaoqing02]	[1]	1	0.25	0	0.25
[biaoqing03]	[2]	1	0.5	0	0.25
[biaoqing04]	[3]	1	0.75	0	0.25
[biaoqing05]	[4]	1	0	0.25	0.25
[biaoqing06]	[5]	1	0.25	0.25	0.25
[biaoqing07]	[6]	1	0.5	0.25	0.25
[biaoqing08]	[7]	1	0.75	0.25	0.25
[biaoqing09]	[8]	1	0	0.5	0.25
[biaoqing10]	[9]	1	0.25	0.5	0.25
[biaoqing11]	[A]	1	0.5	0.5	0.25
[biaoqing12]	[B]	1	0.75	0.5	0.25
[biaoqing13]	[C]	1	0	0.75	0.25
[biaoqing14]	[D]	1	0.25	0.75	0.25
[biaoqing15]	[E]	1	0.5	0.75	0.25
[biaoqing16]	[F]	1	0.75	0.75	0.25
